STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
784090,99999, 19430801,   83.2,14,   72.5,14, 1015.5,14, 9999.9, 0,  99.4,14,   9.4,14,  15.9, 999.9,   87.3*,  76.3*, 0.00I,999.9, 000000,
784090,99999, 19430802,   83.4,15,   74.1,15, 1015.0,15, 9999.9, 0,  99.4,15,   6.9,15,  15.9, 999.9,   89.2*,  74.3*,99.99 ,999.9, 010000,
784090,99999, 19430803,   84.3,15,   75.1,15, 1014.2,15, 9999.9, 0,  99.4,15,   7.5,15,  13.0, 999.9,   88.3*,  77.4*, 0.00I,999.9, 000010,
784090,99999, 19430804,   83.9,15,   74.9,15, 1014.7,15, 9999.9, 0,  50.6,15,  11.6,15,  23.9, 999.9,   88.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430805,   83.9,15,   75.5,15, 1014.8,15, 9999.9, 0,  93.3,15,   8.6,15,  21.0, 999.9,   89.2*,  79.3*,99.99 ,999.9, 010000,
784090,99999, 19430806,   83.6,15,   74.3,15, 1014.7,15, 9999.9, 0,  99.4,15,   5.9,15,  12.0, 999.9,   87.3*,  74.3*, 0.00I,999.9, 000010,
784090,99999, 19430807,   84.7,15,   74.6,15, 1014.5,15, 9999.9, 0,  99.4,15,   5.9,15,  14.0, 999.9,   89.2*,  75.4*, 0.00I,999.9, 000010,
784090,99999, 19430808,   83.4,15,   71.5,15, 1014.3,15, 9999.9, 0,  99.4,15,   4.7,15,  14.0, 999.9,   87.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430809,   84.4,15,   74.2,15, 1014.1,15, 9999.9, 0,  99.4,15,   6.2,15,  12.0, 999.9,   89.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430810,   83.7,15,   73.4,15, 1014.2,15, 9999.9, 0,  99.4,15,   5.3,15,  12.0, 999.9,   88.3*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430811,   84.4,15,   74.5,15, 1014.6,15, 9999.9, 0,  99.4,15,  10.5,15,  22.9, 999.9,   90.3*,  75.4*, 0.00I,999.9, 000010,
784090,99999, 19430812,   84.5,15,   73.4,15, 1015.2,15, 9999.9, 0,  99.4,15,   9.8,15,  21.0, 999.9,   90.3*,  75.4*, 0.00I,999.9, 000010,
784090,99999, 19430813,   84.5,15,   73.4,15, 1014.7,15, 9999.9, 0,  99.4,15,   8.7,15,  21.0, 999.9,   88.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430814,   84.5,15,   74.1,15, 1012.8,15, 9999.9, 0,  99.4,15,   6.5,15,  13.0, 999.9,   89.2*,  74.3*, 0.00I,999.9, 000000,
784090,99999, 19430815,   83.5,15,   74.1,15, 1011.7,15, 9999.9, 0,  99.4,15,   6.3,15,  15.9, 999.9,   90.3*,  76.3*,99.99 ,999.9, 010010,
784090,99999, 19430816,   84.5,15,   74.3,15, 1011.2,15, 9999.9, 0,  99.4,15,   6.1,15,  16.9, 999.9,   90.3*,  75.4*, 0.00I,999.9, 000000,
784090,99999, 19430817,   84.3,15,   75.3,15, 1012.1,15, 9999.9, 0,  99.4,15,   8.4,15,  15.9, 999.9,   90.3*,  76.3*, 0.00I,999.9, 000010,
784090,99999, 19430818,   83.0,15,   74.9,15, 1012.7,15, 9999.9, 0,  99.4,15,   7.1,15,  16.9, 999.9,   90.3*,  74.3*, 0.00I,999.9, 000010,
784090,99999, 19430819,   83.0,15,   74.3,15, 1011.5,15, 9999.9, 0,  99.4,15,   4.5,15,  11.1, 999.9,   89.2*,  73.4*,99.99 ,999.9, 010010,
784090,99999, 19430820,   85.1,15,   74.9,15, 1010.9,15, 9999.9, 0,  99.4,15,   7.7,15,  16.9, 999.9,   91.2*,  76.3*, 0.00I,999.9, 000000,
